"source_row_id","state_abbr","county_name","zip"
"1012","MI","Livingston","48855"
"1013","MI","Clinton","48906"
"1014","MI","Calhoun","49017"
"1015","MI","Barry","49058"
"1016","MI","Calhoun","49068"
"1017","MI","St. Joseph","49093"
"1018","MI","Berrien","49098"
"1019","MI","Berrien","49107"
"1020","MI","Berrien","49128"
"1021","MI","Jackson","49201"
"1022","MI","Lenawee","49221"
"1023","MI","Kent","49315"
"1024","MI","Montcalm","49339"
"1025","MI","Ottawa","49404"
"1026","MI","Muskegon","49451"
"1027","MI","Muskegon","49461"
"1028","MI","Ottawa","49464"
"1029","MI","Manistee","49660"
"1030","MI","Wexford","49663"
"1031","MI","Leelanau","49664"
"1032","MI","Montmorency","49709"
"1033","MI","Chippewa","49724"
"1034","MI","Charlevoix","49727"
"1035","MI","Crawford","49733"
"1036","MI","Presque Isle","49765"
"1037","MI","Delta","49829"
"1038","MI","Schoolcraft","49840"
"1039","MI","Marquette","49855"
"1040","MI","Menominee","49858"
"1041","MI","Alger","49895"
"1042","MI","Ontonagon","49953"
"1043","IA","Dallas","50003"
"1044","IA","Cass","50022"
"1045","IA","Boone","50036"
"1046","IA","Decatur","50108"
"1047","IA","Marshall","50158"
"1048","IA","Polk","50169"
"1049","IA","Jasper","50208"
"1050","IA","Dallas","50220"
"1051","IA","Marion","50256"
"1052","IA","Madison","50273"
"1053","IA","Cerro Gordo","50428"
"1054","IA","Winnebago","50450"
"1055","IA","Webster","50501"
"1056","IA","Sac","50583"
"1057","IA","Hardin","50627"
"1058","IA","Mitchell","50628"
"1059","IA","Black Hawk","50701"
"1060","IA","Cherokee","51012"
"1061","IA","Woodbury","51101"
"1062","IA","Sioux","51201"
"1063","IA","Palo Alto","51342"
"1064","IA","Dickinson","51360"
"1065","IA","Carroll","51401"
"1066","IA","Pottawattamie","51501-7023"
"1067","IA","Harrison","51546"
"1068","IA","Mills","51551"
"1069","IA","Montgomery","51566"
"1070","IA","Page","51632"
"1071","IA","Fremont","51652"
"1072","IA","Dubuque","52003"
"1073","IA","Winneshiek","52101"
"1074","IA","Fayette","52142"
"1075","IA","Benton","52209"
"1076","IA","Iowa","52236"
"1077","IA","Johnson","52246"
"1078","IA","Linn","52302"
"1079","IA","Tama","52342"
"1080","IA","Linn","52404"
"1081","IA","Wapello","52501"
"1082","IA","Mahaska","52577"
"1083","IA","Keokuk","52585"
"1084","IA","Lee","52627"
"1085","IA","Des Moines","52655"
"1086","IA","Muscatine","52726"
"1087","IA","Clinton","52732"
"1088","IA","Scott","52804"
"1089","WI","Dodge","53032"
"1090","WI","Waukesha","53051"
"1091","WI","Sheboygan","53085"
"1092","WI","Jefferson","53094"
"1093","WI","Kenosha","53104"
"1094","WI","Walworth","53115"
"1095","WI","Walworth","53120"
"1096","WI","Milwaukee","53132"
"1097","WI","Waukesha","53150"
"1098","WI","Racine","53406"
"1099","WI","Jefferson","53538"
"1100","WI","Rock","53545"
"1101","WI","Dane","53562"
"1102","WI","Dane","53593"
"1103","WI","Dane","53718"
"1104","WI","Adams","53910"
"1105","WI","Sauk","53913"
"1106","WI","Adams","53934"
"1107","WI","Marquette","53949"
"1108","WI","Marinette","54114"
"1109","WI","Brown","54115"
"1110","WI","Calumet","54129"
"1111","WI","Brown","54155"
"1112","WI","Kewaunee","54216"
"1113","WI","Door","54235"
"1114","WI","Manitowoc","54247"
"1115","WI","Portage","54423"
"1116","WI","Lincoln","54452"
"1117","WI","Marathon","54471"
"1118","WI","Wood","54495"
"1119","WI","Oneida","54501"
"1120","WI","Vilas","54521"
"1121","WI","La Crosse","54601"
"1122","WI","Jackson","54615"
"1123","WI","Monroe","54648"
"1124","WI","Vernon","54665"
"1125","WI","Eau Claire","54703"
"1126","WI","Sawyer","54843"
"1127","WI","Washburn","54870"
"1128","WI","Douglas","54880"
"1129","WI","Rusk","54895"
"1130","WI","Winnebago","54901"
"1131","WI","Winnebago","54904"
"1132","WI","Outagamie","54911"
"1133","WI","Green Lake","54923"
"1134","WI","Green Lake","54968"
"1135","MN","Rice","55019"
"1136","MN","Washington","55042"
"1137","MN","Kanabec","55051"
"1138","MN","Dakota","55077"
"1139","MN","Anoka","55303"
"1140","MN","Anoka","55304"
"1141","MN","Wright","55313"
"1142","MN","Sherburne","55330"
"1143","MN","McLeod","55336"
"1144","MN","Dakota","55337"
"1145","MN","Hennepin","55340"
"1146","MN","Hennepin","55347"
"1147","MN","Wright","55376"
"1148","MN","Scott","55379"
"1149","MN","St. Louis","55792"
"1150","MN","St. Louis","55811"
"1151","MN","Olmsted","55901"
"1152","MN","Steele","55917"
"1153","MN","Blue Earth","56001"
"1154","MN","Freeborn","56007"
"1155","MN","Brown","56085"
"1156","MN","Cottonwood","56101"
"1157","MN","Lyon","56157"
"1158","MN","Nobles","56168"
"1159","MN","Kandiyohi","56273"
"1160","MN","Morrison","56345"
"1161","MN","Crow Wing","56401"
"1162","MN","Becker","56501"
"1163","MN","Clay","56549"
"1164","WI","Monroe","56648"
"1165","MN","Polk","56716"
"1166","MN","Kittson","56728"
"1167","MN","Roseau","56756"
"1168","SD","Brookings","57006"
"1169","SD","Minnehaha","57033"
"1170","SD","Clay","57069"
"1171","SD","Codington","57201"
"1172","SD","Davison","57301"
"1173","SD","Brule","57370"
"1174","SD","Brown","57401"
"1175","SD","Hughes","57501"
"1176","SD","Pennington","57701"
"1177","ND","Sargent","58040"
"1178","ND","Cass","58102"
"1179","ND","Grand Forks","58203"
"1180","ND","Stutsman","58401"
"1181","ND","McIntosh","58495"
"1182","ND","Burleigh","58506"
"1183","ND","Mercer","58545"
"1184","ND","Stark","58601"
"1185","ND","Ward","58701"
"1186","ND","Divide","58765"
"1187","ND","Ward","58781"
"1188","ND","Williams","58801"
"1189","ND","McKenzie","58835"
"1190","MT","Big Horn","59034"
"1191","MT","Park","59047"
"1192","MT","Yellowstone","59101"
"1193","MT","Roosevelt","59201"
"1194","MT","Valley","59230"
"1195","MT","Sheridan","59254"
"1196","MT","Daniels","59263"
"1197","MT","Richland","59270"
"1198","MT","Custer","59301"
"1199","MT","Fallon","59313"
"1200","MT","Rosebud","59323"
"1201","MT","Dawson","59330"
"1202","MT","Cascade","59440"
"1203","MT","Toole","59474"
"1204","MT","Pondera","59486"
"1205","MT","Hill","59501"
"1206","MT","Liberty","59522"
"1207","MT","Phillips","59538"
"1208","MT","Lewis and Clark","59601"
"1209","MT","Lewis and Clark","59602"
"1210","MT","Lewis and Clark","59635"
"1211","MT","Silver Bow","59701"
"1212","MT","Gallatin","59715"
"1213","MT","Powell","59722"
"1214","MT","Beaverhead","59725"
"1215","MT","Gallatin","59752"
"1216","MT","Missoula","59802"
"1217","MT","Lake","59860"
"1218","MT","Flathead","59901"
"1219","MT","Lincoln","59923"
"1220","IL","Lake","60002"
"1221","IL","Cook","60010"
"1222","IL","Cook","60016"
"1223","IL","Lake","60030"
"1224","IL","Cook","60062"
"1225","IL","Cook","60068"
"1226","IL","Lake","60099"
"1227","IL","DeKalb","60115"
"1228","IL","DuPage","60133"
"1229","IL","Cook","60154"
"1230","IL","Cook","60162"
"1231","IL","Kane","60177"
"1232","IL","Will","60401"
"1233","IL","Cook","60419"
"1234","IL","Will","60421"
"1235","IL","Will","60436"
"1236","IL","Cook","60438"
"1237","IL","Will","60446"
"1238","IL","Grundy","60450"
"1239","IL","Will","60481"
"1240","IL","Kane","60510"
"1241","IL","Cook","60525"
"1242","IL","DuPage","60565"
"1243","IL","Will","60585"
"1244","IL","Cook","60633"
"1245","IL","Kankakee","60922"
"1246","IL","Iroquois","60931"
"1247","IL","Vermilion","60942"
"1248","IL","Iroquois","60953"
"1249","IL","Ogle","61020"
"1250","IL","Lee","61021"
"1251","IL","Stephenson","61032"
"1252","IL","Ogle","61068"
"1253","IL","Winnebago","61109"
"1254","IL","Henry","61235"
"1255","IL","Rock Island","61244"
"1256","IL","Rock Island","61264"
"1257","IL","Whiteside","61270"
"1258","IL","Rock Island","61284"
"1259","IL","LaSalle","61350"
"1260","IL","Livingston","61364"
"1261","IL","Fulton","61432"
"1262","IL","McDonough","61455"
"1263","IL","Knox","61467"
"1264","IL","Peoria","61517"
"1265","IL","Peoria","61528"
"1266","IL","Tazewell","61554"
"1267","IL","Tazewell","61571"
"1268","IL","Tazewell","61611"
"1269","IL","McLean","61704"
"1270","IL","De Witt","61727"
"1271","IL","Tazewell","61747"
"1272","IL","Livingston","61764"
"1273","IL","Champaign","61801"
