"source_row_id","fips_county","o3_max_pred_2016","o3_mean_pred_2016","o3_med_pred_2016","o3_pop_pred_2016","o3_max_pred_2017","o3_mean_pred_2017","o3_med_pred_2017","o3_pop_pred_2017","o3_max_pred_2018","o3_mean_pred_2018","o3_med_pred_2018","o3_pop_pred_2018","o3_max_pred_2019","o3_mean_pred_2019","o3_med_pred_2019","o3_pop_pred_2019"
"1","01001",40.42243194580078,39.48734664916992,39.567962646484375,39.52559280395508,37.027984619140625,36.23964309692383,36.28864669799805,36.25685119628906,36.428916931152344,35.487457275390625,35.49913787841797,35.50361251831055,38.68437957763672,37.70980453491211,37.731170654296875,37.734580993652344
"5","01003",42.152191162109375,38.88032150268555,38.88645935058594,38.82783889770508,40.89474868774414,37.83768844604492,37.80355453491211,37.7851448059082,40.52717208862305,37.19441604614258,37.12742614746094,37.12958908081055,40.59861755371094,37.43470001220703,37.39882278442383,37.365169525146484
"9","01005",39.6971435546875,38.829551696777344,38.89008331298828,38.81744384765625,37.27253341674805,36.3818473815918,36.418365478515625,36.37117385864258,36.278846740722656,35.33707046508789,35.34547424316406,35.33396911621094,37.730045318603516,36.845340728759766,36.846614837646484,36.8442268371582
"13","01007",40.373600006103516,39.371803283691406,39.368080139160156,39.19496536254883,36.86293029785156,36.013851165771484,36.00577926635742,35.91741180419922,37.02632522583008,36.09163284301758,36.08362579345703,35.967498779296875,38.89322280883789,37.83517074584961,37.818702697753906,37.63499069213867
"17","01009",43.04553985595703,41.643768310546875,41.61485290527344,41.644493103027344,39.47264099121094,38.2221565246582,38.206756591796875,38.213417053222656,39.48508834838867,38.18659973144531,38.143226623535156,38.19476318359375,41.36626434326172,40.13071060180664,40.12759017944336,40.12654113769531
"21","01011",39.58240509033203,39.111629486083984,39.13922882080078,39.13935852050781,36.936161041259766,36.4827995300293,36.5025634765625,36.48440170288086,35.72063446044922,35.26695251464844,35.26599884033203,35.26839065551758,37.52860641479492,37.07164764404297,37.08849334716797,37.10078048706055
"25","01013",38.57917404174805,37.80138397216797,37.84973907470703,37.80482482910156,36.37593460083008,35.63683319091797,35.640357971191406,35.63756561279297,35.644386291503906,34.842464447021484,34.82910919189453,34.84621810913086,37.84392166137695,37.03266143798828,37.048892974853516,37.035884857177734
"29","01015",43.04371643066406,41.79601287841797,41.77888107299805,41.791629791259766,39.321964263916016,38.12760543823242,38.10678482055664,38.128196716308594,38.68576431274414,37.45949935913086,37.4493293762207,37.4510383605957,40.71992874145508,39.54589080810547,39.528358459472656,39.53921890258789
"33","01017",41.08900451660156,40.33089828491211,40.37494659423828,40.29933547973633,38.33549499511719,37.623050689697266,37.678733825683594,37.594573974609375,36.84773254394531,36.14639663696289,36.15293884277344,36.13657760620117,39.20362854003906,38.437801361083984,38.4493293762207,38.413055419921875
"37","01019",42.69673538208008,41.82093048095703,41.81819152832031,41.827598571777344,39.040836334228516,38.18887710571289,38.178260803222656,38.19949722290039,38.23391342163086,37.33177185058594,37.317405700683594,37.34025573730469,40.46219253540039,39.58332443237305,39.573875427246094,39.58875274658203
"41","01021",40.83415985107422,39.63823699951172,39.65119934082031,39.68551254272461,37.09871292114258,36.13693618774414,36.13417434692383,36.14508056640625,37.23605728149414,36.02119827270508,36.00754165649414,36.076114654541016,39.41249465942383,38.206668853759766,38.235599517822266,38.25878143310547
"45","01023",37.44681930541992,36.513790130615234,36.49687194824219,36.55190658569336,35.68308639526367,34.86888122558594,34.86324691772461,34.85844039916992,35.618743896484375,34.689205169677734,34.68881607055664,34.67502212524414,36.125999450683594,35.20188522338867,35.211509704589844,35.20862579345703
"49","01025",38.14622116088867,36.94047927856445,36.94585418701172,36.976112365722656,36.68719482421875,35.50088119506836,35.47175216674805,35.5279655456543,36.12866973876953,34.84938430786133,34.83964538574219,34.866455078125,36.92683410644531,35.73108673095703,35.732295989990234,35.777381896972656
"53","01027",41.43048095703125,40.66504669189453,40.670806884765625,40.757957458496094,37.99201202392578,37.34960174560547,37.372535705566406,37.42301559448242,37.426063537597656,36.74346160888672,36.74893569946289,36.785255432128906,39.638694763183594,38.94493103027344,38.962162017822266,38.99989318847656
"57","01029",42.3267936706543,41.43607711791992,41.41608428955078,41.4194221496582,38.74971389770508,37.983219146728516,37.980613708496094,37.968849182128906,37.84523010253906,37.08173370361328,37.088478088378906,37.06589126586914,39.9085693359375,39.14451217651367,39.1505126953125,39.13753128051758
"61","01031",38.71488952636719,37.880157470703125,37.89104080200195,37.90596389770508,36.547828674316406,35.75642013549805,35.786075592041016,35.782108306884766,36.068790435791016,35.256263732910156,35.2733039855957,35.278160095214844,37.716182708740234,36.903324127197266,36.91257095336914,36.90116500854492
"65","01033",40.26482391357422,39.354637145996094,39.34342575073242,39.36281967163086,37.942779541015625,37.10350799560547,37.09701156616211,37.1064338684082,37.25883102416992,36.36831283569336,36.34162521362305,36.37076187133789,38.28158950805664,37.42420196533203,37.382301330566406,37.42611312866211
"69","01035",37.99404525756836,37.284690856933594,37.27144241333008,37.28749084472656,36.48480224609375,35.80311965942383,35.812740325927734,35.79161834716797,35.89248275756836,35.10093307495117,35.09663391113281,35.10254669189453,37.63475036621094,36.863243103027344,36.86251449584961,36.888519287109375
"73","01037",40.661617279052734,39.961055755615234,39.950782775878906,39.94982147216797,37.247127532958984,36.629188537597656,36.61695098876953,36.64310073852539,36.975067138671875,36.26893615722656,36.27322006225586,36.259342193603516,39.1158561706543,38.4420280456543,38.421295166015625,38.42877960205078
