"source_row_id","fips_county","county_name","state_name","chips_vendmach_tax_rate_2014","soda_vendmach_tax_rate_2014"
"1","01001","Autauga","AL",4.0,4.0
"2","01003","Baldwin","AL",4.0,4.0
"3","01005","Barbour","AL",4.0,4.0
"4","01007","Bibb","AL",4.0,4.0
"5","01009","Blount","AL",4.0,4.0
"6","01011","Bullock","AL",4.0,4.0
"7","01013","Butler","AL",4.0,4.0
"8","01015","Calhoun","AL",4.0,4.0
"9","01017","Chambers","AL",4.0,4.0
"10","01019","Cherokee","AL",4.0,4.0
"11","01021","Chilton","AL",4.0,4.0
"12","01023","Choctaw","AL",4.0,4.0
"13","01025","Clarke","AL",4.0,4.0
"14","01027","Clay","AL",4.0,4.0
"15","01029","Cleburne","AL",4.0,4.0
"16","01031","Coffee","AL",4.0,4.0
"17","01033","Colbert","AL",4.0,4.0
"18","01035","Conecuh","AL",4.0,4.0
"19","01037","Coosa","AL",4.0,4.0
"20","01039","Covington","AL",4.0,4.0
"21","01041","Crenshaw","AL",4.0,4.0
"22","01043","Cullman","AL",4.0,4.0
"23","01045","Dale","AL",4.0,4.0
"24","01047","Dallas","AL",4.0,4.0
"25","01049","DeKalb","AL",4.0,4.0
"26","01051","Elmore","AL",4.0,4.0
"27","01053","Escambia","AL",4.0,4.0
"28","01055","Etowah","AL",4.0,4.0
"29","01057","Fayette","AL",4.0,4.0
"30","01059","Franklin","AL",4.0,4.0
"31","01061","Geneva","AL",4.0,4.0
"32","01063","Greene","AL",4.0,4.0
"33","01065","Hale","AL",4.0,4.0
"34","01067","Henry","AL",4.0,4.0
"35","01069","Houston","AL",4.0,4.0
"36","01071","Jackson","AL",4.0,4.0
"37","01073","Jefferson","AL",4.0,4.0
"38","01075","Lamar","AL",4.0,4.0
"39","01077","Lauderdale","AL",4.0,4.0
"40","01079","Lawrence","AL",4.0,4.0
"41","01081","Lee","AL",4.0,4.0
"42","01083","Limestone","AL",4.0,4.0
"43","01085","Lowndes","AL",4.0,4.0
"44","01087","Macon","AL",4.0,4.0
"45","01089","Madison","AL",4.0,4.0
"46","01091","Marengo","AL",4.0,4.0
"47","01093","Marion","AL",4.0,4.0
"48","01095","Marshall","AL",4.0,4.0
"49","01097","Mobile","AL",4.0,4.0
"50","01099","Monroe","AL",4.0,4.0
"51","01101","Montgomery","AL",4.0,4.0
"52","01103","Morgan","AL",4.0,4.0
"53","01105","Perry","AL",4.0,4.0
"54","01107","Pickens","AL",4.0,4.0
"55","01109","Pike","AL",4.0,4.0
"56","01111","Randolph","AL",4.0,4.0
"57","01113","Russell","AL",4.0,4.0
"58","01115","St. Clair","AL",4.0,4.0
"59","01117","Shelby","AL",4.0,4.0
"60","01119","Sumter","AL",4.0,4.0
"61","01121","Talladega","AL",4.0,4.0
"62","01123","Tallapoosa","AL",4.0,4.0
"63","01125","Tuscaloosa","AL",4.0,4.0
"64","01127","Walker","AL",4.0,4.0
"65","01129","Washington","AL",4.0,4.0
"66","01131","Wilcox","AL",4.0,4.0
"67","01133","Winston","AL",4.0,4.0
"68","02013","Aleutians East","AK",0.0,0.0
"69","02016","Aleutians West","AK",0.0,0.0
"70","02020","Anchorage","AK",0.0,0.0
"71","02050","Bethel","AK",0.0,0.0
"72","02060","Bristol Bay","AK",0.0,0.0
"73","02068","Denali","AK",0.0,0.0
"74","02070","Dillingham","AK",0.0,0.0
"75","02090","Fairbanks North Star","AK",0.0,0.0
"76","02100","Haines","AK",0.0,0.0
"77","02105","Hoonah-Angoon","AK",0.0,0.0
"78","02110","Juneau","AK",0.0,0.0
"79","02122","Kenai Peninsula","AK",0.0,0.0
"80","02130","Ketchikan Gateway","AK",0.0,0.0
"81","02150","Kodiak Island","AK",0.0,0.0
"82","02164","Lake and Peninsula","AK",0.0,0.0
"83","02170","Matanuska-Susitna","AK",0.0,0.0
"84","02180","Nome","AK",0.0,0.0
"85","02185","North Slope","AK",0.0,0.0
"86","02188","Northwest Arctic","AK",0.0,0.0
"87","02195","Petersburg","AK",0.0,0.0
"88","02198","Prince of Wales-Hyder","AK",0.0,0.0
"89","02220","Sitka","AK",0.0,0.0
"90","02230","Skagway","AK",0.0,0.0
"91","02240","Southeast Fairbanks","AK",0.0,0.0
"92","02261","Valdez-Cordova","AK",0.0,0.0
"93","02270","Wade Hampton","AK",0.0,0.0
"94","02275","Wrangell","AK",0.0,0.0
"95","02282","Yakutat","AK",0.0,0.0
"96","02290","Yukon-Koyukuk","AK",0.0,0.0
"97","04001","Apache","AZ",0.0,0.0
"98","04003","Cochise","AZ",0.0,0.0
"99","04005","Coconino","AZ",0.0,0.0
"100","04007","Gila","AZ",0.0,0.0
"101","04009","Graham","AZ",0.0,0.0
"102","04011","Greenlee","AZ",0.0,0.0
"103","04012","La Paz","AZ",0.0,0.0
"104","04013","Maricopa","AZ",0.0,0.0
"105","04015","Mohave","AZ",0.0,0.0
"106","04017","Navajo","AZ",0.0,0.0
"107","04019","Pima","AZ",0.0,0.0
"108","04021","Pinal","AZ",0.0,0.0
"109","04023","Santa Cruz","AZ",0.0,0.0
"110","04025","Yavapai","AZ",0.0,0.0
"111","04027","Yuma","AZ",0.0,0.0
"112","05001","Arkansas","AR",1.5,1.5
"113","05003","Ashley","AR",1.5,1.5
"114","05005","Baxter","AR",1.5,1.5
"115","05007","Benton","AR",1.5,1.5
"116","05009","Boone","AR",1.5,1.5
"117","05011","Bradley","AR",1.5,1.5
"118","05013","Calhoun","AR",1.5,1.5
"119","05015","Carroll","AR",1.5,1.5
"120","05017","Chicot","AR",1.5,1.5
"121","05019","Clark","AR",1.5,1.5
"122","05021","Clay","AR",1.5,1.5
"123","05023","Cleburne","AR",1.5,1.5
"124","05025","Cleveland","AR",1.5,1.5
"125","05027","Columbia","AR",1.5,1.5
"126","05029","Conway","AR",1.5,1.5
"127","05031","Craighead","AR",1.5,1.5
"128","05033","Crawford","AR",1.5,1.5
"129","05035","Crittenden","AR",1.5,1.5
"130","05037","Cross","AR",1.5,1.5
"131","05039","Dallas","AR",1.5,1.5
"132","05041","Desha","AR",1.5,1.5
"133","05043","Drew","AR",1.5,1.5
"134","05045","Faulkner","AR",1.5,1.5
"135","05047","Franklin","AR",1.5,1.5
"136","05049","Fulton","AR",1.5,1.5
"137","05051","Garland","AR",1.5,1.5
"138","05053","Grant","AR",1.5,1.5
"139","05055","Greene","AR",1.5,1.5
"140","05057","Hempstead","AR",1.5,1.5
"141","05059","Hot Spring","AR",1.5,1.5
"142","05061","Howard","AR",1.5,1.5
"143","05063","Independence","AR",1.5,1.5
"144","05065","Izard","AR",1.5,1.5
"145","05067","Jackson","AR",1.5,1.5
"146","05069","Jefferson","AR",1.5,1.5
"147","05071","Johnson","AR",1.5,1.5
"148","05073","Lafayette","AR",1.5,1.5
"149","05075","Lawrence","AR",1.5,1.5
"150","05077","Lee","AR",1.5,1.5
"151","05079","Lincoln","AR",1.5,1.5
"152","05081","Little River","AR",1.5,1.5
"153","05083","Logan","AR",1.5,1.5
"154","05085","Lonoke","AR",1.5,1.5
"155","05087","Madison","AR",1.5,1.5
"156","05089","Marion","AR",1.5,1.5
"157","05091","Miller","AR",1.5,1.5
"158","05093","Mississippi","AR",1.5,1.5
"159","05095","Monroe","AR",1.5,1.5
"160","05097","Montgomery","AR",1.5,1.5
"161","05099","Nevada","AR",1.5,1.5
"162","05101","Newton","AR",1.5,1.5
"163","05103","Ouachita","AR",1.5,1.5
"164","05105","Perry","AR",1.5,1.5
"165","05107","Phillips","AR",1.5,1.5
"166","05109","Pike","AR",1.5,1.5
"167","05111","Poinsett","AR",1.5,1.5
"168","05113","Polk","AR",1.5,1.5
"169","05115","Pope","AR",1.5,1.5
"170","05117","Prairie","AR",1.5,1.5
"171","05119","Pulaski","AR",1.5,1.5
"172","05121","Randolph","AR",1.5,1.5
"173","05123","St. Francis","AR",1.5,1.5
"174","05125","Saline","AR",1.5,1.5
"175","05127","Scott","AR",1.5,1.5
"176","05129","Searcy","AR",1.5,1.5
"177","05131","Sebastian","AR",1.5,1.5
"178","05133","Sevier","AR",1.5,1.5
"179","05135","Sharp","AR",1.5,1.5
"180","05137","Stone","AR",1.5,1.5
"181","05139","Union","AR",1.5,1.5
"182","05141","Van Buren","AR",1.5,1.5
"183","05143","Washington","AR",1.5,1.5
"184","05145","White","AR",1.5,1.5
"185","05147","Woodruff","AR",1.5,1.5
"186","05149","Yell","AR",1.5,1.5
"187","06001","Alameda","CA",6.5,6.5
"188","06003","Alpine","CA",6.5,6.5
"189","06005","Amador","CA",6.5,6.5
"190","06007","Butte","CA",6.5,6.5
"191","06009","Calaveras","CA",6.5,6.5
"192","06011","Colusa","CA",6.5,6.5
"193","06013","Contra Costa","CA",6.5,6.5
"194","06015","Del Norte","CA",6.5,6.5
"195","06017","El Dorado","CA",6.5,6.5
"196","06019","Fresno","CA",6.5,6.5
"197","06021","Glenn","CA",6.5,6.5
"198","06023","Humboldt","CA",6.5,6.5
"199","06025","Imperial","CA",6.5,6.5
"200","06027","Inyo","CA",6.5,6.5
"201","06029","Kern","CA",6.5,6.5
"202","06031","Kings","CA",6.5,6.5
"203","06033","Lake","CA",6.5,6.5
"204","06035","Lassen","CA",6.5,6.5
"205","06037","Los Angeles","CA",6.5,6.5
"206","06039","Madera","CA",6.5,6.5
"207","06041","Marin","CA",6.5,6.5
"208","06043","Mariposa","CA",6.5,6.5
"209","06045","Mendocino","CA",6.5,6.5
"210","06047","Merced","CA",6.5,6.5
"211","06049","Modoc","CA",6.5,6.5
"212","06051","Mono","CA",6.5,6.5
"213","06053","Monterey","CA",6.5,6.5
"214","06055","Napa","CA",6.5,6.5
"215","06057","Nevada","CA",6.5,6.5
"216","06059","Orange","CA",6.5,6.5
"217","06061","Placer","CA",6.5,6.5
"218","06063","Plumas","CA",6.5,6.5
"219","06065","Riverside","CA",6.5,6.5
"220","06067","Sacramento","CA",6.5,6.5
"221","06069","San Benito","CA",6.5,6.5
"222","06071","San Bernardino","CA",6.5,6.5
"223","06073","San Diego","CA",6.5,6.5
"224","06075","San Francisco","CA",6.5,6.5
"225","06077","San Joaquin","CA",6.5,6.5
"226","06079","San Luis Obispo","CA",6.5,6.5
"227","06081","San Mateo","CA",6.5,6.5
"228","06083","Santa Barbara","CA",6.5,6.5
"229","06085","Santa Clara","CA",6.5,6.5
"230","06087","Santa Cruz","CA",6.5,6.5
"231","06089","Shasta","CA",6.5,6.5
"232","06091","Sierra","CA",6.5,6.5
"233","06093","Siskiyou","CA",6.5,6.5
"234","06095","Solano","CA",6.5,6.5
"235","06097","Sonoma","CA",6.5,6.5
"236","06099","Stanislaus","CA",6.5,6.5
"237","06101","Sutter","CA",6.5,6.5
"238","06103","Tehama","CA",6.5,6.5
"239","06105","Trinity","CA",6.5,6.5
"240","06107","Tulare","CA",6.5,6.5
"241","06109","Tuolumne","CA",6.5,6.5
"242","06111","Ventura","CA",6.5,6.5
"243","06113","Yolo","CA",6.5,6.5
"244","06115","Yuba","CA",6.5,6.5
"245","08001","Adams","CO",0.0,2.91
"246","08003","Alamosa","CO",0.0,2.91
"247","08005","Arapahoe","CO",0.0,2.91
"248","08007","Archuleta","CO",0.0,2.91
"249","08009","Baca","CO",0.0,2.91
"250","08011","Bent","CO",0.0,2.91
"251","08013","Boulder","CO",0.0,2.91
"252","08014","Broomfield","CO",0.0,2.91
"253","08015","Chaffee","CO",0.0,2.91
"254","08017","Cheyenne","CO",0.0,2.91
"255","08019","Clear Creek","CO",0.0,2.91
"256","08021","Conejos","CO",0.0,2.91
"257","08023","Costilla","CO",0.0,2.91
"258","08025","Crowley","CO",0.0,2.91
"259","08027","Custer","CO",0.0,2.91
"260","08029","Delta","CO",0.0,2.91
"261","08031","Denver","CO",0.0,2.91
"262","08033","Dolores","CO",0.0,2.91
"263","08035","Douglas","CO",0.0,2.91
"264","08037","Eagle","CO",0.0,2.91
"265","08039","Elbert","CO",0.0,2.91
"266","08041","El Paso","CO",0.0,2.91
"267","08043","Fremont","CO",0.0,2.91
"268","08045","Garfield","CO",0.0,2.91
"269","08047","Gilpin","CO",0.0,2.91
"270","08049","Grand","CO",0.0,2.91
"271","08051","Gunnison","CO",0.0,2.91
"272","08053","Hinsdale","CO",0.0,2.91
"273","08055","Huerfano","CO",0.0,2.91
"274","08057","Jackson","CO",0.0,2.91
"275","08059","Jefferson","CO",0.0,2.91
"276","08061","Kiowa","CO",0.0,2.91
"277","08063","Kit Carson","CO",0.0,2.91
"278","08065","Lake","CO",0.0,2.91
"279","08067","La Plata","CO",0.0,2.91
"280","08069","Larimer","CO",0.0,2.91
"281","08071","Las Animas","CO",0.0,2.91
"282","08073","Lincoln","CO",0.0,2.91
"283","08075","Logan","CO",0.0,2.91
"284","08077","Mesa","CO",0.0,2.91
"285","08079","Mineral","CO",0.0,2.91
"286","08081","Moffat","CO",0.0,2.91
"287","08083","Montezuma","CO",0.0,2.91
"288","08085","Montrose","CO",0.0,2.91
"289","08087","Morgan","CO",0.0,2.91
"290","08089","Otero","CO",0.0,2.91
"291","08091","Ouray","CO",0.0,2.91
"292","08093","Park","CO",0.0,2.91
"293","08095","Phillips","CO",0.0,2.91
"294","08097","Pitkin","CO",0.0,2.91
"295","08099","Prowers","CO",0.0,2.91
"296","08101","Pueblo","CO",0.0,2.91
"297","08103","Rio Blanco","CO",0.0,2.91
"298","08105","Rio Grande","CO",0.0,2.91
"299","08107","Routt","CO",0.0,2.91
"300","08109","Saguache","CO",0.0,2.91
"301","08111","San Juan","CO",0.0,2.91
"302","08113","San Miguel","CO",0.0,2.91
"303","08115","Sedgwick","CO",0.0,2.91
"304","08117","Summit","CO",0.0,2.91
"305","08119","Teller","CO",0.0,2.91
"306","08121","Washington","CO",0.0,2.91
"307","08123","Weld","CO",0.0,2.91
"308","08125","Yuma","CO",0.0,2.91
"309","09001","Fairfield","CT",0.0,6.35
"310","09003","Hartford","CT",0.0,6.35
"311","09005","Litchfield","CT",0.0,6.35
"312","09007","Middlesex","CT",0.0,6.35
"313","09009","New Haven","CT",0.0,6.35
"314","09011","New London","CT",0.0,6.35
"315","09013","Tolland","CT",0.0,6.35
"316","09015","Windham","CT",0.0,6.35
"317","10001","Kent","DE",0.0,0.0
"318","10003","New Castle","DE",0.0,0.0
"319","10005","Sussex","DE",0.0,0.0
"320","11001","District of Columbia","DC",5.75,5.75
"321","12001","Alachua","FL",6.0,6.0
